"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.target-rc-id","receiveehrextract-request.ehr_extract.all_compositions.attestations.target_rc_id","","","",1,*,"","","","Identifier {[]} {[]}
","target_rc_id","target_rc_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.target_rc_id",1,*,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester","","","",1,1,"","","","BackboneElement {[]} {[]}
","attester","The participation of an entity in the EHR.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attester",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.id","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.extension","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.function","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.function","","","",0,1,"","","","CodeableConcept {[]} {[]}
","function","function","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.function",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.healthcare-facility","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.healthcare_facility","","","",0,1,"","","","Identifier {[]} {[]}
","healthcare_facility","healthcare_facility","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.healthcare_facility",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.mode","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.mode","","","",0,1,"","","","code {[]} {[]}
","mode","mode","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.mode",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.performer","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.performer","","","",1,1,"","","","Identifier {[]} {[]}
","performer","performer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.performer",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.attestations.attester.service-setting","receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.service_setting","","","",0,1,"","","","CodeableConcept {[]} {[]}
","service_setting","service_setting","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.attestations.attester.service_setting",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations","receiveehrextract-request.ehr_extract.all_compositions.other_participations","","","",0,*,"","","","BackboneElement {[]} {[]}
","other_participations","The participation of an entity in the EHR.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.other_participations",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.id","receiveehrextract-request.ehr_extract.all_compositions.other_participations.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.extension","receiveehrextract-request.ehr_extract.all_compositions.other_participations.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.other_participations.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.function","receiveehrextract-request.ehr_extract.all_compositions.other_participations.function","","","",0,1,"","","","CodeableConcept {[]} {[]}
","function","function","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.other_participations.function",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.healthcare-facility","receiveehrextract-request.ehr_extract.all_compositions.other_participations.healthcare_facility","","","",0,1,"","","","Identifier {[]} {[]}
","healthcare_facility","healthcare_facility","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.other_participations.healthcare_facility",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.mode","receiveehrextract-request.ehr_extract.all_compositions.other_participations.mode","","","",0,1,"","","","code {[]} {[]}
","mode","mode","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.other_participations.mode",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.performer","receiveehrextract-request.ehr_extract.all_compositions.other_participations.performer","","","",1,1,"","","","Identifier {[]} {[]}
","performer","performer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.other_participations.performer",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.other-participations.service-setting","receiveehrextract-request.ehr_extract.all_compositions.other_participations.service_setting","","","",0,1,"","","","CodeableConcept {[]} {[]}
","service_setting","service_setting","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.other_participations.service_setting",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal","receiveehrextract-request.ehr_extract.all_compositions.committal","","","",1,1,"","","","BackboneElement {[]} {[]}
","committal","The committal and revision data for a Record Component. Note that the invariant is incorrectly stated as constraining ""attribute_version_status.coding_scheme_name"" in the printed standard.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.id","receiveehrextract-request.ehr_extract.all_compositions.committal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.extension","receiveehrextract-request.ehr_extract.all_compositions.committal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.committal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.committer","receiveehrextract-request.ehr_extract.all_compositions.committal.committer","","","",1,1,"","","","Identifier {[]} {[]}
","committer","committer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal.committer",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.ehr-system","receiveehrextract-request.ehr_extract.all_compositions.committal.ehr_system","","","",1,1,"","","","Identifier {[]} {[]}
","ehr_system","ehr_system","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal.ehr_system",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.previous-version","receiveehrextract-request.ehr_extract.all_compositions.committal.previous_version","","","",0,1,"","","","Identifier {[]} {[]}
","previous_version","previous_version","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal.previous_version",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.reason-for-revision","receiveehrextract-request.ehr_extract.all_compositions.committal.reason_for_revision","","","",0,1,"","","","CodeableConcept {[]} {[]}
","reason_for_revision","reason_for_revision","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal.reason_for_revision",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.time-committed","receiveehrextract-request.ehr_extract.all_compositions.committal.time_committed","","","",1,1,"","","","dateTime {[]} {[]}
","time_committed","time_committed","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal.time_committed",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.version-set-id","receiveehrextract-request.ehr_extract.all_compositions.committal.version_set_id","","","",0,1,"","","","Identifier {[]} {[]}
","version_set_id","version_set_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal.version_set_id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.committal.version-status","receiveehrextract-request.ehr_extract.all_compositions.committal.version_status","","","",0,1,"","","","code {[]} {[]}
","version_status","version_status","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.committal.version_status",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer","receiveehrextract-request.ehr_extract.all_compositions.composer","","","",0,1,"","","","BackboneElement {[]} {[]}
","composer","The participation of an entity in the EHR.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.composer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.id","receiveehrextract-request.ehr_extract.all_compositions.composer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.extension","receiveehrextract-request.ehr_extract.all_compositions.composer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.composer.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.function","receiveehrextract-request.ehr_extract.all_compositions.composer.function","","","",0,1,"","","","CodeableConcept {[]} {[]}
","function","function","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.composer.function",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.healthcare-facility","receiveehrextract-request.ehr_extract.all_compositions.composer.healthcare_facility","","","",0,1,"","","","Identifier {[]} {[]}
","healthcare_facility","healthcare_facility","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.composer.healthcare_facility",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.mode","receiveehrextract-request.ehr_extract.all_compositions.composer.mode","","","",0,1,"","","","code {[]} {[]}
","mode","mode","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.composer.mode",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.performer","receiveehrextract-request.ehr_extract.all_compositions.composer.performer","","","",1,1,"","","","Identifier {[]} {[]}
","performer","performer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.composer.performer",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.composer.service-setting","receiveehrextract-request.ehr_extract.all_compositions.composer.service_setting","","","",0,1,"","","","CodeableConcept {[]} {[]}
","service_setting","service_setting","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.composer.service_setting",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content","receiveehrextract-request.ehr_extract.all_compositions.content","","","",0,*,"","","","BackboneElement {[]} {[]}
","content","Superclass of Section and Entry that enables the former to include instances of itself. Abstrakt typ; instansen anges med xsi:type som en av SECTION, ENTRY.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.id","receiveehrextract-request.ehr_extract.all_compositions.content.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.extension","receiveehrextract-request.ehr_extract.all_compositions.content.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.content.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.archetype-id","receiveehrextract-request.ehr_extract.all_compositions.content.archetype_id","","","",0,1,"","","","string {[]} {[]}
","archetype_id","archetype_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.archetype_id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.meaning","receiveehrextract-request.ehr_extract.all_compositions.content.meaning","","","",0,1,"","","","CodeableConcept {[]} {[]}
","meaning","meaning","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.meaning",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.contentName","receiveehrextract-request.ehr_extract.all_compositions.content.contentName","","","",1,1,"","","","string {[]} {[]}
","contentName","contentName Heter name i schemat.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.contentName",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.orig-parent-ref","receiveehrextract-request.ehr_extract.all_compositions.content.orig_parent_ref","","","",0,1,"","","","Identifier {[]} {[]}
","orig_parent_ref","orig_parent_ref","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.orig_parent_ref",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.policy-ids","receiveehrextract-request.ehr_extract.all_compositions.content.policy_ids","","","",0,*,"","","","Identifier {[]} {[]}
","policy_ids","policy_ids","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.policy_ids",0,*,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.rc-id","receiveehrextract-request.ehr_extract.all_compositions.content.rc_id","","","",1,1,"","","","Identifier {[]} {[]}
","rc_id","rc_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.rc_id",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.sensitivity","receiveehrextract-request.ehr_extract.all_compositions.content.sensitivity","","","",0,1,"","","","integer {[]} {[]}
","sensitivity","sensitivity","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.sensitivity",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.synthesised","receiveehrextract-request.ehr_extract.all_compositions.content.synthesised","","","",1,1,"","","","boolean {[]} {[]}
","synthesised","synthesised","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.synthesised",1,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.links","receiveehrextract-request.ehr_extract.all_compositions.content.links","","","",0,*,"","","","BackboneElement {[]} {[]}
","links","Creates a relationship between two Record Components that is orthogonal to the common one of containment. Note that if a recipient is not permitted to see the component linked to, even revealing the link constitutes an inappropriate disclosure. Role is of type CD so that the displayName property of that class can be used in place of any specific coding scheme.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.links",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.links.id","receiveehrextract-request.ehr_extract.all_compositions.content.links.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request","receiveehrextract-request.ehr-extract.all-compositions.content.links.extension","receiveehrextract-request.ehr_extract.all_compositions.content.links.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
