"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitHsaId","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitHsaId","","","",1,1,"","","","string {[]} {[]}
","HSA-identitet ingående enhet. Ref. hsaIdentity [R5].","HSA-identitet ingående enhet. Ref. hsaIdentity [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitHsaId",1,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitName","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitName","","","",1,1,"","","","string {[]} {[]}
","Namn ingående enhet. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","Namn ingående enhet. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitName",1,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitPublicName","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitPublicName","","","",1,1,"","","","string {[]} {[]}
","Publikt officiellt namn på vårdenheten.","Publikt officiellt namn på vårdenheten.","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitPublicName",1,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitStartDate","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för vårdenhetens verksamhet. Ref. startDate [R5].","Startdatum för vårdenhetens verksamhet. Ref. startDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitStartDate",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitEndDate","gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum för vårdenhetens verksamhet. Ref. endDate [R5].","Slutdatum för vårdenhetens verksamhet. Ref. endDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit.healthCareUnitEndDate",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.feignedHealthCareUnit","gethealthcareunitlist.healthCareUnitList.healthCareUnit.feignedHealthCareUnit","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdenheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","true: om vårdenheten är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit.feignedHealthCareUnit",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.archivedHealthCareUnit","gethealthcareunitlist.healthCareUnitList.healthCareUnit.archivedHealthCareUnit","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdenheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","true: om vårdenheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit.archivedHealthCareUnit",0,1,"",""
"gethealthcareunitmembers-request","gethealthcareunitmembers-request","gethealthcareunitmembers-request","","","",0,*,"","","","null {[]} {[]}
","GetHealthCareUnitMembers — Request","Logisk modell för requestparametrar i GetHealthCareUnitMembers (RIV-TA urn:riv:infrastructure:directory:organization:GetHealthCareUnitMembers:2).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"gethealthcareunitmembers-request","gethealthcareunitmembers-request.healthCareUnitHsaId","gethealthcareunitmembers-request.healthCareUnitHsaId","","","",1,1,"","","","string {[]} {[]}
","HSA-id för vårdenhet enligt PDL. Ref. hsaIdentity [R5].","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers-request.healthCareUnitHsaId",1,1,"",""
"gethealthcareunitmembers-request","gethealthcareunitmembers-request.searchBase","gethealthcareunitmembers-request.searchBase","","","",0,1,"","","","string {[]} {[]}
","Sökbas. Om ingen sökbas anges används c=SE som sökbas.","DN-format. Obs: kopplade enheter söks alltid med sökbas c=se.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers-request.searchBase",0,1,"",""
"gethealthcareunitmembers-request","gethealthcareunitmembers-request.includeFeignedObject","gethealthcareunitmembers-request.includeFeignedObject","","","",0,1,"","","","boolean {[]} {[]}
","true: om metoden ska leverera svar med fingerade objekt.","Uteblivet värde tolkas som false.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers-request.includeFeignedObject",0,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers","gethealthcareunitmembers","","","",0,*,"","","","null {[]} {[]}
","GetHealthCareUnitMembers","Logisk modell för tjänstekontraktet GetHealthCareUnitMembers
(RIV-TA urn:riv:infrastructure:directory:organization:GetHealthCareUnitMembers:2).
Representerar responsens informationsstruktur — vårdenhet med alla kopplade enheter.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers","gethealthcareunitmembers.healthCareUnitMembers","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information om vårdenheten och dess kopplade enheter","Aggregerat objekt med vårdenhetens information, tillhörande vårdgivare och lista av kopplade enheter.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.id","gethealthcareunitmembers.healthCareUnitMembers.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.extension","gethealthcareunitmembers.healthCareUnitMembers.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.modifierExtension","gethealthcareunitmembers.healthCareUnitMembers.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitName","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitName","","","",1,1,"","","","string {[]} {[]}
","Vårdenhetens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","Vårdenhetens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitName",1,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitPublicName","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitPublicName","","","",1,1,"","","","string {[]} {[]}
","Publikt officiellt namn på vårdenheten.","Publikt officiellt namn på vårdenheten.","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitPublicName",1,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitHsaId","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitHsaId","","","",1,1,"","","","string {[]} {[]}
","Vårdenhetens HSA-id. Ref. hsaIdentity [R5].","Vårdenhetens HSA-id. Ref. hsaIdentity [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitHsaId",1,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitStartDate","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för vårdenhetens verksamhet. Ref. startDate [R5].","Startdatum för vårdenhetens verksamhet. Ref. startDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitStartDate",0,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitEndDate","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum för vårdenhetens verksamhet. Ref. endDate [R5].","Slutdatum för vårdenhetens verksamhet. Ref. endDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitEndDate",0,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitPrescriptionCode","gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitPrescriptionCode","","","",0,*,"","","","string {[]} {[]}
","Vårdenhetens arbetsplatskod(-er). Ref. arbetsplatskod (unitPrescriptionCode) [R5].","Vårdenhetens arbetsplatskod(-er). Ref. arbetsplatskod (unitPrescriptionCode) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.healthCareUnitPrescriptionCode",0,*,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.telephoneNumber","gethealthcareunitmembers.healthCareUnitMembers.telephoneNumber","","","",0,*,"","","","string {[]} {[]}
","Vårdenhetens publika direkttelefonnummer. Ref. direkttelefon (telephoneNumber) [R5].","Vårdenhetens publika direkttelefonnummer. Ref. direkttelefon (telephoneNumber) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.telephoneNumber",0,*,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.postalAddress","gethealthcareunitmembers.healthCareUnitMembers.postalAddress","","","",0,1,"","","","BackboneElement {[]} {[]}
","Vårdenhetens postadress i ostrukturerat format. Ref. postadress (postalAddress) [R5].","Vårdenhetens postadress i ostrukturerat format. Ref. postadress (postalAddress) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitmembers.healthCareUnitMembers.postalAddress",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.postalAddress.id","gethealthcareunitmembers.healthCareUnitMembers.postalAddress.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"gethealthcareunitmembers","gethealthcareunitmembers.healthCareUnitMembers.postalAddress.extension","gethealthcareunitmembers.healthCareUnitMembers.postalAddress.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
